,day,num_trips
0,2015-01-01,91703
1,2015-01-02,68769
2,2015-01-03,71289
3,2015-01-04,60807
4,2015-01-05,74851
5,2015-01-06,78801
6,2015-01-07,77134
7,2015-01-08,83281
8,2015-01-09,103250
9,2015-01-10,89511
10,2015-01-11,72197
11,2015-01-12,82646
12,2015-01-13,84761
13,2015-01-14,90017
14,2015-01-15,91229
15,2015-01-16,102552
16,2015-01-17,95129
17,2015-01-18,80687
18,2015-01-19,60669
19,2015-01-20,76661
20,2015-01-21,79782
21,2015-01-22,89150
22,2015-01-23,101896
23,2015-01-24,93721
24,2015-01-25,87997
25,2015-01-26,94400
26,2015-01-27,91783
27,2015-01-28,88432
28,2015-01-29,90285
29,2015-01-30,106390
30,2015-01-31,94100
31,2015-02-01,58776
32,2015-02-02,74475
33,2015-02-03,87302
34,2015-02-04,94309
35,2015-02-05,102111
36,2015-02-06,109120
37,2015-02-07,102018
38,2015-02-08,77725
39,2015-02-09,83472
40,2015-02-10,85091
41,2015-02-11,89698
42,2015-02-12,102988
43,2015-02-13,119704
44,2015-02-14,124462
45,2015-02-15,84004
46,2015-02-16,72269
47,2015-02-17,86698
48,2015-02-18,99788
49,2015-02-19,104068
50,2015-02-20,117971
51,2015-02-21,109350
52,2015-02-22,92104
53,2015-02-23,91243
54,2015-02-24,93496
55,2015-02-25,97441
56,2015-02-26,108075
57,2015-02-27,124688
58,2015-02-28,111542
59,2015-03-01,81260
60,2015-03-02,80992
61,2015-03-03,88794
62,2015-03-04,92552
63,2015-03-05,105504
64,2015-03-06,122016
65,2015-03-07,108826
66,2015-03-08,89140
67,2015-03-09,88921
68,2015-03-10,85875
69,2015-03-11,89598
70,2015-03-12,99300
71,2015-03-13,114854
72,2015-03-14,152561
73,2015-03-15,87977
74,2015-03-16,78521
75,2015-03-17,94928
76,2015-03-18,94263
77,2015-03-19,100225
78,2015-03-20,110956
79,2015-03-21,107421
80,2015-03-22,91171
81,2015-03-23,91265
82,2015-03-24,94885
83,2015-03-25,94614
84,2015-03-26,97356
85,2015-03-27,112478
86,2015-03-28,102531
87,2015-03-29,82971
88,2015-03-30,74040
89,2015-03-31,77773
90,2015-04-01,80774
91,2015-04-02,92035
92,2015-04-03,94560
93,2015-04-04,82695
94,2015-04-05,69412
95,2015-04-06,76633
96,2015-04-07,85230
97,2015-04-08,87456
98,2015-04-09,94424
99,2015-04-10,107576
100,2015-04-11,99155
101,2015-04-12,86292
102,2015-04-13,93003
103,2015-04-14,98915
104,2015-04-15,102882
105,2015-04-16,103169
106,2015-04-17,112373
107,2015-04-18,112838
108,2015-04-19,88611
109,2015-04-20,86392
110,2015-04-21,90796
111,2015-04-22,97962
112,2015-04-23,101945
113,2015-04-24,114591
114,2015-04-25,103833
115,2015-04-26,84885
116,2015-04-27,82364
117,2015-04-28,84488
118,2015-04-29,92119
119,2015-04-30,102244
120,2015-05-01,111794
121,2015-05-02,111635
122,2015-05-03,97640
123,2015-05-04,86693
124,2015-05-05,99654
125,2015-05-06,99226
126,2015-05-07,102002
127,2015-05-08,107706
128,2015-05-09,95734
129,2015-05-10,76835
130,2015-05-11,86201
131,2015-05-12,93253
132,2015-05-13,98228
133,2015-05-14,107041
134,2015-05-15,117601
135,2015-05-16,114881
136,2015-05-17,101857
137,2015-05-18,98069
138,2015-05-19,101508
139,2015-05-20,99227
140,2015-05-21,97556
141,2015-05-22,97320
142,2015-05-23,92531
143,2015-05-24,86633
144,2015-05-25,58082
145,2015-05-26,79442
146,2015-05-27,86038
147,2015-05-28,98539
148,2015-05-29,116502
149,2015-05-30,124518
150,2015-05-31,98960
151,2015-06-01,93905
152,2015-06-02,92114
153,2015-06-03,93397
154,2015-06-04,97490
155,2015-06-05,106752
156,2015-06-06,103025
157,2015-06-07,81555
158,2015-06-08,87352
159,2015-06-09,90224
160,2015-06-10,96462
161,2015-06-11,104060
162,2015-06-12,116780
163,2015-06-13,119219
164,2015-06-14,102503
165,2015-06-15,105961
166,2015-06-16,105879
167,2015-06-17,97568
168,2015-06-18,102391
169,2015-06-19,107274
170,2015-06-20,103990
171,2015-06-21,76409
172,2015-06-22,82077
173,2015-06-23,85596
174,2015-06-24,95009
175,2015-06-25,100789
176,2015-06-26,106928
177,2015-06-27,91712
178,2015-06-28,86062
179,2015-06-29,75876
180,2015-06-30,76440
181,2015-07-01,81118
182,2015-07-02,88087
183,2015-07-03,93291
184,2015-07-04,97373
185,2015-07-05,85157
186,2015-07-06,85147
187,2015-07-07,80706
188,2015-07-08,84652
189,2015-07-09,92765
190,2015-07-10,103618
191,2015-07-11,104293
192,2015-07-12,73324
193,2015-07-13,69664
194,2015-07-14,71846
195,2015-07-15,72609
196,2015-07-16,78953
197,2015-07-17,81228
198,2015-07-18,81804
199,2015-07-19,85352
200,2015-07-20,78226
201,2015-07-21,77372
202,2015-07-22,84697
203,2015-07-23,91205
204,2015-07-24,102198
205,2015-07-25,101835
206,2015-07-26,77968
207,2015-07-27,75151
208,2015-07-28,83396
209,2015-07-29,90973
210,2015-07-30,98976
211,2015-07-31,105901
212,2015-08-01,99035
213,2015-08-02,89621
214,2015-08-03,80753
215,2015-08-04,75204
216,2015-08-05,82143
217,2015-08-06,91333
218,2015-08-07,101887
219,2015-08-08,96447
220,2015-08-09,77071
221,2015-08-10,74550
222,2015-08-11,79012
223,2015-08-12,84515
224,2015-08-13,94580
225,2015-08-14,103558
226,2015-08-15,96352
227,2015-08-16,81466
228,2015-08-17,78547
229,2015-08-18,83884
230,2015-08-19,88764
231,2015-08-20,92100
232,2015-08-21,100833
233,2015-08-22,92740
234,2015-08-23,75038
235,2015-08-24,71815
236,2015-08-25,73050
237,2015-08-26,78219
238,2015-08-27,85944
239,2015-08-28,91393
240,2015-08-29,85921
241,2015-08-30,70088
242,2015-08-31,67987
243,2015-09-01,75559
244,2015-09-02,80452
245,2015-09-03,87887
246,2015-09-04,88932
247,2015-09-05,83821
248,2015-09-06,84608
249,2015-09-07,55052
250,2015-09-08,74568
251,2015-09-09,76640
252,2015-09-10,88245
253,2015-09-11,101123
254,2015-09-12,92297
255,2015-09-13,79018
256,2015-09-14,77115
257,2015-09-15,84947
258,2015-09-16,92085
259,2015-09-17,98089
260,2015-09-18,108726
261,2015-09-19,95814
262,2015-09-20,82356
263,2015-09-21,74687
264,2015-09-22,76871
265,2015-09-23,77665
266,2015-09-24,85032
267,2015-09-25,98172
268,2015-09-26,92668
269,2015-09-27,81148
270,2015-09-28,84846
271,2015-09-29,93336
272,2015-09-30,89534
273,2015-10-01,91922
274,2015-10-02,97513
275,2015-10-03,90089
276,2015-10-04,76369
277,2015-10-05,78602
278,2015-10-06,82929
279,2015-10-07,91994
280,2015-10-08,77383
281,2015-10-09,96997
282,2015-10-10,86399
283,2015-10-11,74871
284,2015-10-12,76119
285,2015-10-13,89989
286,2015-10-14,90086
287,2015-10-15,97201
288,2015-10-16,106961
289,2015-10-17,93868
290,2015-10-18,76476
291,2015-10-19,79676
292,2015-10-20,88111
293,2015-10-21,89811
294,2015-10-22,90383
295,2015-10-23,100122
296,2015-10-24,88007
297,2015-10-25,73037
298,2015-10-26,76997
299,2015-10-27,84824
300,2015-10-28,85099
301,2015-10-29,90118
302,2015-10-30,93061
303,2015-10-31,87007
304,2015-11-01,87111
305,2015-11-02,73644
306,2015-11-03,79029
307,2015-11-04,84463
308,2015-11-05,91000
309,2015-11-06,100713
310,2015-11-07,88244
311,2015-11-08,75180
312,2015-11-09,78728
313,2015-11-10,82577
314,2015-11-11,82165
315,2015-11-12,96734
316,2015-11-13,97296
317,2015-11-14,79326
318,2015-11-15,67476
319,2015-11-16,76465
320,2015-11-17,88076
321,2015-11-18,88637
322,2015-11-19,96179
323,2015-11-20,98080
324,2015-11-21,86095
325,2015-11-22,70532
326,2015-11-23,68312
327,2015-11-24,68674
328,2015-11-25,59710
329,2015-11-26,37349
330,2015-11-27,50465
331,2015-11-28,67117
332,2015-11-29,61695
333,2015-11-30,85009
334,2015-12-01,88647
335,2015-12-02,93559
336,2015-12-03,100884
337,2015-12-04,104868
338,2015-12-05,90897
339,2015-12-06,71125
340,2015-12-07,72446
341,2015-12-08,76543
342,2015-12-09,81281
343,2015-12-10,93864
344,2015-12-11,103598
345,2015-12-12,89866
346,2015-12-13,72057
347,2015-12-14,75410
348,2015-12-15,80736
349,2015-12-16,89544
350,2015-12-17,101636
351,2015-12-18,109068
352,2015-12-19,87288
353,2015-12-20,62612
354,2015-12-21,69046
355,2015-12-22,69503
356,2015-12-23,62504
357,2015-12-24,39186
358,2015-12-25,17827
359,2015-12-26,36356
360,2015-12-27,45928
361,2015-12-28,61534
362,2015-12-29,59029
363,2015-12-30,65915
364,2015-12-31,72195
365,2016-01-01,97204
366,2016-01-02,69001
367,2016-01-03,59287
368,2016-01-04,67767
369,2016-01-05,71736
370,2016-01-06,75723
371,2016-01-07,80099
372,2016-01-08,92764
373,2016-01-09,75589
374,2016-01-10,64969
375,2016-01-11,82653
376,2016-01-12,87105
377,2016-01-13,91413
378,2016-01-14,88779
379,2016-01-15,99032
380,2016-01-16,84270
381,2016-01-17,75170
382,2016-01-18,66992
383,2016-01-19,86845
384,2016-01-20,89480
385,2016-01-21,94168
386,2016-01-22,99176
387,2016-01-23,79741
388,2016-01-24,65756
389,2016-01-25,77561
390,2016-01-26,80790
391,2016-01-27,83963
392,2016-01-28,90281
393,2016-01-29,96411
394,2016-01-30,74888
395,2016-01-31,61799
396,2016-02-01,71238
397,2016-02-02,86671
398,2016-02-03,82489
399,2016-02-04,89761
400,2016-02-05,92791
401,2016-02-06,75696
402,2016-02-07,63941
403,2016-02-08,79112
404,2016-02-09,89851
405,2016-02-10,95050
406,2016-02-11,101315
407,2016-02-12,110014
408,2016-02-13,99975
409,2016-02-14,86256
